image_name,xmin,xmax,ymin,ymax,class_id
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,246,293,651,700,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,299,344,650,700,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,402,451,432,481,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,197,243,487,536,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,248,293,487,536,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,299,345,488,536,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,350,397,488,539,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,402,449,488,536,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,196,241,542,591,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,246,295,542,591,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,298,349,538,594,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,351,397,542,594,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,402,450,542,591,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,195,245,594,644,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,245,294,594,645,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,297,345,596,645,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,349,397,597,644,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,402,452,595,646,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_12.jpg,196,243,649,700,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_51.jpg,298,345,617,667,1
12ba82ee-4d57-4679-8e36-ccafa2e89072_1_aug_51.jpg,351,396,616,667,1
